idCustomer;PointsCustomer;flEmail
aa3eaf74-6d9c-4859-b733-5a18a3b2f71b;1008;0
2d3d2dce-d353-4961-ad39-46723efe2100;2194;0
5f8fcbe0-6014-43f8-8b83-38cf2f4887b3;10767;0
ca95ef2a-5129-40f4-acbc-2ced25940032;421;0
65662aff-44d6-4f06-b9d9-07445c6e5943;418;0
98b960e7-6b7b-45b7-b7af-60bca40e04b9;0;0
b2f9d026-0727-4125-b84b-c60af3148a15;4012;0
6e1bc660-02eb-49ac-aee6-592328504897;682;0
95ef4c1e-b21a-468e-b419-ad08333c4948;171;0
e7c79c1a-7693-4e63-a844-c755e0bc3bd3;2273;1
c4f241f8-2140-4f72-b1a3-904fcc51e38c;454;0
e407fad9-4f76-4c12-98ea-d70d1c8d0d97;1460;0
cf317911-6a16-403b-9ea0-ad9b90d44a1a;153;0
d92138ad-7b6f-4b5b-8e0d-5041fe5b943a;54;0
00a6d4c8-38e5-4e92-981e-4e4ac5084546;458;1
2fa14ef0-72ee-43b8-a884-8cedd9dae64e;222;0
03d75a45-0b36-4fd7-a84e-7b36912f1998;12;0
a59e2ccb-72ef-45d3-844c-65334964261f;1115;1
1fe103bf-ba44-42a2-9b75-fc7d9f9bd2f8;158;0
c7a4278b-de77-421a-ac17-43c8e8eef6ef;528;0
a2abd650-93a1-4c0e-a57e-485b7fadfa43;206;0
b76c3795-90bf-4470-a6ff-8005d2810fc9;869;0
f072ee1b-dfec-4073-940b-0264dbe408de;1;0
c51d1137-46fe-483a-b4b8-7f7fa6703aaa;0;0
6a7d3662-8ab6-43e2-a194-e7f1a58b996d;0;0
a36bb816-5ac7-414e-9252-98c4720839dc;22;0
43e2aca6-8825-46ca-85ac-ac76a461638e;1;0
54edd84d-73ad-4821-8d53-7ed04f00b2e4;758;0
5b59236f-a9dd-4877-a738-d56a77a301e8;156;0
aa47f1e7-1631-4b03-abd9-9309de45f81a;904;0
a1478518-6bf1-41e7-895b-355a06554b96;201;0
1370597d-57dc-46ae-9d2f-ac6e4a285c81;900;0
053f094b-a813-4417-9bb6-7a3d1737b089;7;0
7e158eee-407a-49e8-a1b0-87662b735e57;0;0
28980931-4ba6-4206-99e9-5ebbe0f28295;50;0
99431a0f-1f38-47ab-9136-445c7afae00d;3575;0
ed18130c-a356-402e-be63-15948e0e4108;58;0
20224958-4a8b-461c-a1b9-02080a55af96;100;0
5ae0871a-e31d-4003-8c1a-e181dab54036;759;0
331ebc0b-f4a6-4364-85a3-33f91743e2c3;602;0
df695821-6cd6-457e-91b3-33f988c736bc;695;1
3458efb0-0a7e-490f-8856-c29f9050d938;1701;0
34b1ea54-b7c8-489f-85f8-aab2a844c2e3;1024;0
596f1ca1-2593-46f8-93d3-272447fcafae;8;0
af4f97a5-90a8-4ebf-8420-d7766ad093ea;1044;0
c9ed7cd1-df65-43b9-a18d-f658936b1799;334;0
0368a5c3-bc5d-45f2-b8a0-07e74ea1574f;1478;0
be6ccf09-820d-43c9-9705-9fc381b682f7;205;0
4c77c153-19b9-42e2-a03c-04f43dcc6105;1112;0
e37e9fd7-73b3-44a5-9eb9-022fb6d39225;2;0
6dece871-c22b-40a9-a919-19a88acf3401;457;0
faf46096-5f3c-4419-befb-7365c881d2d6;0;0
4fade907-6e0f-4581-a674-aad6622b1b10;5513;0
f608acbe-ccef-4161-b46a-5a6f6a46a3f3;315;1
5877cf53-bde0-4bfa-b61b-0a09e5dd5147;646;0
df08af5d-fb82-4b1f-a2e3-621d845fbb6e;50;0
317476ac-bfe4-427e-b611-06cdc5e80894;0;0
f7a75235-e8f3-4763-9429-185ec3598b06;3873;0
82a5c529-3e9b-40c0-a662-f1a3c1939642;0;0
697396c0-502a-4ef6-9af7-dd08113a0409;845;0
21943df7-272e-46ef-aeb7-933a6637bfd5;1318;0
2a9d4ba3-4c58-47f9-8dc4-6f9cb50be1b1;4530;0
821134d7-f44d-4769-8c2c-b50e82c16099;972;0
aa643d36-5a4c-47c0-95dc-3ba49d9b6eab;500;0
219c530f-45c4-4438-92de-ccadf9981f62;0;0
ef5b5c37-a4fc-4222-bbe2-50c4e40fd997;204;0
43fe0176-a4a7-4263-9f45-3fb68e054430;627;0
6582b314-afdb-47ef-88ff-a8d5c28fd4a7;2659;0
c8cc7485-7a11-44dd-8145-6665e7c2f103;394;0
74c06e4d-0d4f-48f1-96af-a03c7b18ce47;450;0
c59f5c8f-1d85-407a-8456-646d0f6be4f6;125;0
e91dcc7c-20ec-4d44-8290-a67a6cc557c1;3091;0
71c0a8c1-f6d1-4090-a304-95f38c66d6b8;674;0
450a3f75-9c8a-4eb2-b39c-f718ec24f40c;7063;0
884e9674-31cf-43be-8e6f-0f9ee3696923;50;0
fbc705f9-bbee-4aa2-b74c-4ab8a4290af0;749;0
c4ade77c-f395-4d22-93c3-7a8031df9c6f;1663;0
15a2e60e-1eb6-4979-919d-f968a50d67d0;75;0
98953b1a-ae7e-4e50-b264-bdda6c3a4a6d;6313;0
a4e4f0e5-6d0e-4461-b13f-023f8ec7ac5d;0;0
8a106d07-1a24-47d2-9d4f-b8418d874f05;424;0
7d265bd6-76c5-45f7-8b53-a35a774dd9a8;694;0
566ff65c-1f2d-46f6-9fe6-6559866fa156;53;0
e4c33903-1025-458b-99c6-f4896942082d;1;0
d51777b5-002d-40cf-abb3-1b4a5c6673ab;0;0
4f4685d8-48e5-4f6b-823c-5fd61d7bd709;714;0
b0847d5b-c1dd-41cc-8302-b451c8674c0e;4669;0
7df60476-b880-485a-9430-ededf50a9bbb;1660;1
bd0ccd8d-87a0-4aa7-8f0d-31276c9b9b23;321;0
4d39bad4-acd2-434c-a965-88e6d917e80e;626;0
e7407187-d6aa-4a70-90b3-ac9f99589651;2;0
0af0bdf0-d17a-41bd-b8f6-6b3cef165bd8;667;0
429d1211-6738-455f-bfdd-0eed6b68e5f7;463;0
8237120a-3720-4523-9825-db3bac44b2e5;1;0
b158e1c0-6be9-40ce-9a92-9976bc14b678;230;0
b694739a-6362-436d-a3a0-08977b39afb2;0;0
871b821c-3bd6-4a0b-84e8-b005162ff348;681;0
7af74d57-b6ac-42db-8093-f0fa8fb9a29f;804;1
058d457f-9ffd-4426-a0f0-7aa20065a0db;0;0
30e5dd64-f51e-43e2-a3e2-6f6407658d2a;763;0
8151fff4-0b51-4577-ae0b-4622d244d324;2760;0
2b83b8d3-3f3e-4006-82d0-02521f1192fc;50;0
0ed6b09e-4329-4d2a-837b-2aad4796cd3a;586;0
0097ab76-4637-4ece-8ebc-ab6abd61d662;50;0
8265dee1-143c-4416-a189-d99261004b39;100;0
031f1b88-5440-45af-8fa9-1423a0a15145;0;0
5fb0adf1-bfaa-4230-90fc-5f75cb9e76ac;636;0
1a63ba6c-83bb-4866-a6ea-54cc4cf9bcb2;106;0
d332b0d2-12db-45dd-9d6b-addd75972c2e;0;0
f3da481c-cb28-42f9-96b6-759bb5e6e65f;27;0
eb54395b-ddd6-49f8-a58b-0f8c1789819c;153;0
12d53642-5997-4345-9b10-410a2d387466;2059;0
563410ac-325b-482d-b9ce-283fa710a160;0;0
3bfbc979-dcce-4331-beb2-31f5c38c9369;52;0
82a9340c-d2de-4b18-a558-612f80ac909e;81;0
a7f613ea-f216-4e62-b05a-dc19bcee73dd;0;0
7d53fdbb-2a7b-4565-b56d-0421fa76fa28;0;0
68be609e-0268-4826-99a2-2f62711c2ec2;16;0
2e4d5f68-f2b7-441f-9bfe-5b521165955f;100;0
3bd342b6-e5ff-456b-b8e7-8aabbe9f0a32;3482;0
ef1a209b-87c3-44f5-9307-e4d034374efa;303;0
9aba2685-7c0a-4d1f-8e22-0c47ca0af580;5477;0
7a4ace0f-1451-484c-9dcb-52f663a935ea;0;0
46119557-7ce9-488f-9225-47d539dd414e;3188;1
6fff56d9-010f-4a49-b6f5-090af35d403a;72;0
10ddac6b-0b74-4e1d-a624-898ef75ed653;382;0
c6ee1f71-a167-4430-9913-351219bff14d;0;0
803debdb-8136-4cb5-af29-dcd8db36bf2c;5332;0
c68f7dfe-655a-4561-bc72-0f1fb65dde06;0;0
cfd157cf-b220-46ef-b66d-456ba7db29a3;0;0
3744c69d-25c1-46a6-b178-ee5925f78014;1174;0
83ee3482-86e3-4cc5-a4d5-ed5ff0e8188d;51;0
05de679b-9989-4416-9aa4-20c149999c8d;1213;0
28abf0f8-0209-4053-bb5f-2c9211a858e7;152;0
c577784a-ab1c-41b8-bc22-6809b80ccc7f;152;0
919989b1-bd1e-4ec9-a03f-346a9098c348;154;0
53fcec59-e051-42ec-bd48-c71e0e4279bd;101;0
06d83d70-52bf-48a6-b35d-79b5357d3dcb;251;0
ec7d0650-7948-4628-a0c3-a0b27b7091ad;12;0
4e7eafad-5196-4d4f-9dee-23eb5c367334;651;1
ce61fa42-2854-42d4-b20d-e9348e9d76e1;2038;0
551a16d9-98c1-4247-9148-9beb45fae2da;51;0
7dbd163a-1f88-4d39-b94c-32856fd48021;1417;0
dfa4b373-d4d7-41ad-ab95-182bb052f008;1250;0
def273e3-6432-47bb-b67b-778e79fb0769;2;0
